"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0015065190","0103","2023-07-29T09:20:00.000","4.8","MONGUI","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.227","-72.821","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T11:00:00.000","1.585178","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0028045501","0103","2023-07-29T21:05:00.000","0","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T22:15:00.000","1.87945","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026155503","0103","2023-07-29T10:20:00.000","1.484544","PLANALTO  - AUT","CALDAS","MANIZALES","CAUCA","4.989722222","-75.58971944","Velocidad Viento (10 min)","m/s"
"0028045501","0103","2023-07-29T08:50:00.000","0.8815845","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T18:55:00.000","2.17335","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0035225030","0103","2023-07-29T06:20:00.000","0.6","PERENCO: MODULOS","CASANARE","OROCUÉ","META","4.91","-71.433","Velocidad Viento (10 min)","m/s"
"0024015501","0103","2023-07-29T01:05:00.000","0","BERTHA  - AUT","BOYACÁ","MONIQUIRÁ","SOGAMOSO","5.882777778","-73.57333056","Velocidad Viento (10 min)","m/s"
"0026205501","0103","2023-07-29T23:45:00.000","0","EL ROSARIO  - AUT","ANTIOQUIA","VENECIA","CAUCA","5.625830556","-75.70527778","Velocidad Viento (10 min)","m/s"
"0021050060","0103","2023-07-29T00:10:00.000","0.7","ARGENTINA LA","HUILA","LA ARGENTINA","ALTO MAGDALENA","2.199","-75.972","Velocidad Viento (10 min)","m/s"
"0021140120","0103","2023-07-29T07:10:00.000","6.7","CRUCES LAS","TOLIMA","ALPUJARRA","ALTO MAGDALENA","3.426","-74.92","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T15:00:00.000","4.195762","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0026215501","0103","2023-07-29T17:50:00.000","1.394476","CONCORDIA  - AUT","ANTIOQUIA","CONCORDIA","CAUCA","6.042441667","-75.92149722","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2023-07-29T17:55:00.000","2.898794","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"0016055501","0103","2023-07-29T06:30:00.000","2.103504","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Velocidad Viento (10 min)","m/s"
"0056015010","0103","2023-07-29T16:30:00.000","0.6","PR CHOCO: PANAMERICANA","CHOCÓ","BAHÍA SOLANO (MUTIS)","PACÍFICO - DIRECTOS","6.223","-77.404","Velocidad Viento (10 min)","m/s"
"0023025040","0103","2023-07-29T16:10:00.000","2.8","ALBANIA","TOLIMA","MARIQUITA","MEDIO MAGDALENA","5.286","-74.903","Velocidad Viento (10 min)","m/s"
"0016025503","0103","2023-07-29T02:15:00.000","2.521533","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Velocidad Viento (10 min)","m/s"
"0032075501","0103","2023-07-29T22:35:00.000","1.15714","LEJANIAS  - AUT","META","LEJANÍAS","GUAVIARE","3.51995","-74.08978611","Velocidad Viento (10 min)","m/s"
"0035095130","0103","2023-07-29T08:40:00.000","1.5","LAGUNA DE LA PLAZA","ARAUCA","SARAVENA","CASANARE","6.362","-72.282","Velocidad Viento (10 min)","m/s"
"0023025501","0103","2023-07-29T22:40:00.000","2.210143","MANZANARES  - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.163913889","-75.11740833","Velocidad Viento (10 min)","m/s"
"0035235050","0103","2023-07-29T12:00:00.000","1.8","PERENCO: TAMARA","CASANARE","TÁMARA","META","5.819","-72.167","Velocidad Viento (10 min)","m/s"
"0021105050","0103","2023-07-29T17:20:00.000","4.9","ROSALES LOS","HUILA","CAMPOALEGRE","ALTO MAGDALENA","2.603","-75.418","Velocidad Viento (10 min)","m/s"
"0026125502","0103","2023-07-29T17:55:00.000","1.215326","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Velocidad Viento (10 min)","m/s"
"0025025030","0103","2023-07-29T16:10:00.000","9.3","AYAPEL","CÓRDOBA","AYAPEL","BAJO MAGDALENA- CAUCA -SAN JORGE","8.295","-75.165","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T11:15:00.000","2.761073","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0035260050","0103","2023-07-29T02:20:00.000","1.7","VUELTA MALA","VICHADA","LA PRIMAVERA","META","5.561","-70.281","Velocidad Viento (10 min)","m/s"
"0026135503","0103","2023-07-29T19:40:00.000","0.9140722","NARANJAL  - AUT","CALDAS","CHINCHINA","CAUCA","4.971944444","-75.65221944","Velocidad Viento (10 min)","m/s"
"0023085501","0103","2023-07-29T14:35:00.000","0.588953","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Velocidad Viento (10 min)","m/s"
"0029045190","0103","2023-07-29T23:40:00.000","4.7","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Velocidad Viento (10 min)","m/s"
"0023195502","0103","2023-07-29T10:20:00.000","1.5","APTO PALONEGRO","SANTANDER","LEBRIJA","MEDIO MAGDALENA","7.121","-73.185","Velocidad Viento (10 min)","m/s"
"1508500053","0103","2023-07-29T07:40:00.000","7.1","PUERTO ESTRELLA - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.339194444","-71.345080556","Velocidad Viento (10 min)","m/s"
"0021015502","0103","2023-07-29T08:55:00.000","0","SAN AGUSTIN  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.851416667","-76.30433056","Velocidad Viento (10 min)","m/s"
"0016015501","0103","2023-07-29T04:40:00.000","8.1","APTO CAMILO DAZA","NORTE DE SANTANDER","CÚCUTA","CATATUMBO","7.932","-72.511","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T18:15:00.000","0.6146886","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026125061","0103","2023-07-29T12:30:00.000","1.9","APTO EL EDEN","QUINDÍO","ARMENIA","CAUCA","4.455","-75.766","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T13:05:00.000","0.5461788","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T17:10:00.000","0.7709497","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"2201500047","0103","2023-07-29T11:20:00.000","3.5","HERRERA - AUT","TOLIMA","PLANADAS","SALDAÑA","3.284138889","-75.80245","Velocidad Viento (10 min)","m/s"
"0011045010","0103","2023-07-29T05:10:00.000","2.2","PR CHOCO: APTO EL CARANO","CHOCO","QUIBDÓ","ATRATO - DARIÉN","5.691","-76.644","Velocidad Viento (10 min)","m/s"
"0026155502","0103","2023-07-29T08:30:00.000","0.4514131","CENICAFE  - AUT","CALDAS","MANIZALES","CAUCA","4.991111111","-75.59749722","Velocidad Viento (10 min)","m/s"
"0026135503","0103","2023-07-29T03:30:00.000","0","NARANJAL  - AUT","CALDAS","CHINCHINA","CAUCA","4.971944444","-75.65221944","Velocidad Viento (10 min)","m/s"
"0023085501","0103","2023-07-29T22:50:00.000","0","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Velocidad Viento (10 min)","m/s"
"0023025502","0103","2023-07-29T11:55:00.000","2.242651","ALMACAFE LETRAS  - AUT","CALDAS","MANIZALES","MEDIO MAGDALENA","5.044997222","-75.33221944","Velocidad Viento (10 min)","m/s"
"0028045501","0103","2023-07-29T06:50:00.000","0","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Velocidad Viento (10 min)","m/s"
"0026065502","0103","2023-07-29T03:45:00.000","0.1542239","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T05:20:00.000","1.180099","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0021015502","0103","2023-07-29T14:45:00.000","1.450393","SAN AGUSTIN  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.851416667","-76.30433056","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2023-07-29T10:00:00.000","1.580711","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"0044015060","0103","2023-07-29T20:20:00.000","3.3","ACUEDUCTO MOCOA - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.157333333","-76.65183333","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T10:00:00.000","3.974032","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0052055501","0103","2023-07-29T10:45:00.000","4.06897","OSPINA PEREZ  - AUT","NARIÑO","CONSACÁ","PATÍA","1.254722222","-77.48777778","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2023-07-29T18:30:00.000","0","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0016055501","0103","2023-07-29T02:05:00.000","2.599247","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Velocidad Viento (10 min)","m/s"
"0021125010","0103","2023-07-29T23:20:00.000","1.5","SANTA MARIA","HUILA","SANTA MARÍA","ALTO MAGDALENA","2.936","-75.589","Velocidad Viento (10 min)","m/s"
"0011045010","0103","2023-07-29T16:10:00.000","1.8","PR CHOCO: APTO EL CARANO","CHOCO","QUIBDÓ","ATRATO - DARIÉN","5.691","-76.644","Velocidad Viento (10 min)","m/s"
"0026125506","0103","2023-07-29T23:00:00.000","1.180406","EL AGRADO  - AUT","QUINDÍO","MONTENEGRO","CAUCA","4.518333333","-75.7925","Velocidad Viento (10 min)","m/s"
"0052050080","0103","2023-07-29T06:00:00.000","3.8","TANGUA","NARIÑO","TANGUA","PATÍA","1.094","-77.392","Velocidad Viento (10 min)","m/s"
"0021205502","0103","2023-07-29T23:00:00.000","1.498113","MISIONES  - AUT","CUNDINAMARCA","EL COLEGIO","ALTO MAGDALENA","4.544997222","-74.44055556","Velocidad Viento (10 min)","m/s"
"0029045190","0103","2023-07-29T22:40:00.000","4.3","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Velocidad Viento (10 min)","m/s"
"0026155503","0103","2023-07-29T18:10:00.000","0.4987307","PLANALTO  - AUT","CALDAS","MANIZALES","CAUCA","4.989722222","-75.58971944","Velocidad Viento (10 min)","m/s"
"0035260050","0103","2023-07-29T12:00:00.000","0.7","VUELTA MALA","VICHADA","LA PRIMAVERA","META","5.561","-70.281","Velocidad Viento (10 min)","m/s"
"0021205670","0103","2023-07-29T12:20:00.000","1.2","FLORIDA LA","CUNDINAMARCA","ANOLAIMA","ALTO MAGDALENA","4.771","-74.438","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2023-07-29T01:50:00.000","1.678102","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"0035225030","0103","2023-07-29T02:20:00.000","0.3","PERENCO: MODULOS","CASANARE","OROCUÉ","META","4.91","-71.433","Velocidad Viento (10 min)","m/s"
"0053115502","0103","2023-07-29T06:35:00.000","0.7603626","JULIO FERNANDEZ  - AUT","VALLE DEL CAUCA","RESTREPO","TAPAJE - DAGUA - DIRECTOS","3.809163889","-76.53305556","Velocidad Viento (10 min)","m/s"
"0016055501","0103","2023-07-29T04:45:00.000","2.369862","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Velocidad Viento (10 min)","m/s"
"0029045190","0103","2023-07-29T04:00:00.000","1.8","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Velocidad Viento (10 min)","m/s"
"0035020300","0103","2023-07-29T19:00:00.000","0.6","GUTIERREZ","CUNDINAMARCA","GUTIÉRREZ","META","4.254","-74.003","Velocidad Viento (10 min)","m/s"
"0026135503","0103","2023-07-29T03:10:00.000","0","NARANJAL  - AUT","CALDAS","CHINCHINA","CAUCA","4.971944444","-75.65221944","Velocidad Viento (10 min)","m/s"
"0026115501","0103","2023-07-29T04:20:00.000","0.3315625","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Velocidad Viento (10 min)","m/s"
"0026145501","0103","2023-07-29T00:15:00.000","4.423185","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Velocidad Viento (10 min)","m/s"
"0023025501","0103","2023-07-29T07:40:00.000","1.408945","MANZANARES  - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.163913889","-75.11740833","Velocidad Viento (10 min)","m/s"
"0021215501","0103","2023-07-29T06:50:00.000","0.01696206","ESPERANZA LA  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.45","-75.25","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T11:30:00.000","1.232993","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0044015501","0103","2023-07-29T10:05:00.000","0","MOCOA  - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.084997222","-76.70763889","Velocidad Viento (10 min)","m/s"
